dt,open,high,low,close
2017-09-11 20:00:00,4199.14,4200.0,4175.0,4192.46
2017-09-11 21:00:00,4192.47,4204.93,4190.38,4198.73
2017-09-11 22:00:00,4198.73,4227.99,4198.73,4218.5
2017-09-11 23:00:00,4218.5,4224.32,4203.04,4210.72
2017-09-12 00:00:00,4210.72,4239.98,4210.71,4239.58
2017-09-12 01:00:00,4239.59,4243.95,4230.0,4230.88
2017-09-12 02:00:00,4230.88,4249.99,4220.0,4249.99
2017-09-12 03:00:00,4249.99,4285.04,4247.37,4284.94
2017-09-12 04:00:00,4284.95,4298.88,4256.0,4286.05
2017-09-12 05:00:00,4286.05,4300.0,4280.16,4292.21
2017-09-12 06:00:00,4292.21,4358.97,4292.2,4357.45
2017-09-12 07:00:00,4357.45,4375.0,4322.55,4358.56
2017-09-12 08:00:00,4358.56,4360.68,4258.36,4306.36
2017-09-12 09:00:00,4306.36,4330.0,4295.0,4324.0
2017-09-12 10:00:00,4324.0,4375.37,4289.79,4353.74
2017-09-12 11:00:00,4353.74,4365.89,4335.81,4342.83
2017-09-12 12:00:00,4342.83,4350.0,4316.8,4320.01
2017-09-12 13:00:00,4320.01,4320.01,4260.0,4266.81
2017-09-12 14:00:00,4266.81,4290.43,4261.89,4279.26
2017-09-12 15:00:00,4279.26,4293.33,4250.0,4250.0
2017-09-12 16:00:00,4250.01,4263.85,4241.0,4263.73
2017-09-12 17:00:00,4263.73,4264.99,4191.11,4191.11
2017-09-12 18:00:00,4191.0,4191.1,4080.0,4109.0
2017-09-12 19:00:00,4109.0,4174.0,4097.72,4167.01
2017-09-12 20:00:00,4167.01,4179.95,4125.0,4179.95
2017-09-12 21:00:00,4179.95,4207.89,4150.0,4201.97
2017-09-12 22:00:00,4201.99,4202.0,4167.19,4182.91
2017-09-12 23:00:00,4182.91,4182.91,4129.13,4164.52
2017-09-13 00:00:00,4164.52,4174.53,4100.02,4145.0
2017-09-13 01:00:00,4145.0,4151.22,4105.0,4108.13
2017-09-13 02:00:00,4106.99,4110.98,4016.38,4024.02
2017-09-13 03:00:00,4024.69,4059.14,3950.01,3953.52
2017-09-13 04:00:00,3953.52,4015.29,3904.0,4010.15
2017-09-13 05:00:00,4010.15,4020.99,3960.05,3982.42
2017-09-13 06:00:00,3982.42,4043.97,3981.99,4025.01
2017-09-13 07:00:00,4025.01,4033.92,3929.69,3955.01
2017-09-13 08:00:00,3955.01,3995.64,3921.0,3950.01
2017-09-13 09:00:00,3950.01,3987.14,3929.0,3929.01
2017-09-13 10:00:00,3929.01,3940.0,3850.0,3853.0
2017-09-13 11:00:00,3853.0,3859.74,3801.28,3821.35
2017-09-13 12:00:00,3820.89,3888.05,3776.37,3879.62
2017-09-13 13:00:00,3872.59,3920.0,3822.95,3833.19
2017-09-13 14:00:00,3833.19,3841.14,3726.0,3760.01
2017-09-13 15:00:00,3760.01,3874.9,3760.0,3819.99
2017-09-13 16:00:00,3820.0,3945.0,3807.62,3945.0
2017-09-13 17:00:00,3945.0,3959.99,3885.21,3909.07
2017-09-13 18:00:00,3909.02,3928.04,3851.39,3891.01
2017-09-13 19:00:00,3891.01,3891.73,3838.58,3850.25
2017-09-13 20:00:00,3849.82,3898.99,3838.58,3894.0
2017-09-13 21:00:00,3894.0,3898.98,3870.12,3875.99
2017-09-13 22:00:00,3875.99,3949.99,3875.98,3923.67
2017-09-13 23:00:00,3923.67,3929.29,3850.06,3855.32
2017-09-14 00:00:00,3855.61,3923.0,3855.61,3914.7
2017-09-14 01:00:00,3914.61,3914.99,3888.09,3914.72
2017-09-14 02:00:00,3914.72,3914.73,3860.8,3877.74
2017-09-14 03:00:00,3877.74,3877.74,3800.0,3800.01
2017-09-14 04:00:00,3800.01,3825.0,3761.32,3808.96
2017-09-14 05:00:00,3808.97,3849.99,3808.0,3808.0
2017-09-14 06:00:00,3808.01,3832.32,3806.47,3832.32
2017-09-14 07:00:00,3832.32,3896.84,3832.32,3870.24
2017-09-14 08:00:00,3870.24,3895.0,3830.51,3835.01
2017-09-14 09:00:00,3835.01,3835.01,3780.0,3780.0
2017-09-14 10:00:00,3780.01,3804.37,3700.05,3734.26
2017-09-14 11:00:00,3734.26,3748.21,3600.73,3613.08
2017-09-14 12:00:00,3614.29,3669.97,3499.0,3499.0
2017-09-14 13:00:00,3499.0,3588.15,3425.52,3550.0
2017-09-14 14:00:00,3550.0,3620.49,3474.01,3585.29
2017-09-14 15:00:00,3585.1,3590.7,3459.98,3520.0
2017-09-14 16:00:00,3520.0,3525.0,3437.0,3447.12
2017-09-14 17:00:00,3447.0,3455.5,3304.05,3315.0
2017-09-14 18:00:00,3315.0,3449.68,3240.0,3410.57
2017-09-14 19:00:00,3410.79,3490.0,3335.7,3361.91
2017-09-14 20:00:00,3361.91,3450.0,3335.99,3399.38
2017-09-14 21:00:00,3399.08,3402.0,3301.0,3307.96
2017-09-14 22:00:00,3307.76,3365.91,3280.0,3313.57
2017-09-14 23:00:00,3311.92,3322.01,3230.05,3250.4
2017-09-15 00:00:00,3249.99,3375.0,3234.98,3348.52
2017-09-15 01:00:00,3348.52,3431.0,3346.68,3409.98
2017-09-15 02:00:00,3409.98,3464.99,3375.54,3386.13
2017-09-15 03:00:00,3386.13,3404.44,3355.0,3367.78
2017-09-15 04:00:00,3367.78,3374.01,3275.0,3317.3
2017-09-15 05:00:00,3317.44,3334.08,3250.0,3334.08
2017-09-15 06:00:00,3334.08,3350.0,3130.0,3130.0
2017-09-15 07:00:00,3130.01,3169.0,3060.0,3123.14
2017-09-15 08:00:00,3123.14,3213.75,3065.01,3142.0
2017-09-15 09:00:00,3146.25,3179.71,3045.0,3049.87
2017-09-15 10:00:00,3049.53,3118.62,3022.3,3025.0
2017-09-15 11:00:00,3024.83,3075.0,2975.01,3027.0
2017-09-15 12:00:00,3028.5,3415.0,3007.29,3375.04
2017-09-15 13:00:00,3375.03,3407.44,3200.0,3399.0
2017-09-15 14:00:00,3399.0,3739.77,3399.0,3696.93
2017-09-15 15:00:00,3695.02,3889.16,3585.08,3850.01
2017-09-15 16:00:00,3850.01,3894.48,3560.53,3667.12
2017-09-15 17:00:00,3662.92,3679.17,3472.0,3595.22
2017-09-15 18:00:00,3595.22,3695.79,3570.38,3603.76
2017-09-15 19:00:00,3603.76,3799.0,3603.76,3679.55
2017-09-15 20:00:00,3679.76,3738.47,3660.0,3725.0
2017-09-15 21:00:00,3725.0,3839.46,3720.59,3813.35
2017-09-15 22:00:00,3813.44,3824.0,3700.0,3780.48
2017-09-15 23:00:00,3782.88,3782.88,3670.0,3740.02
2017-09-16 00:00:00,3740.02,3796.33,3707.83,3750.01
2017-09-16 01:00:00,3750.01,3796.99,3750.0,3793.38
2017-09-16 02:00:00,3793.38,3840.0,3766.1,3783.2
2017-09-16 03:00:00,3783.2,3823.44,3774.18,3823.01
